Ano,Sigla da Unidade da Federação,Soma Produto Interno Bruto,Soma Produto Interno Bruto per capita
2013,RJ,26663.0,45035.0
2013,SP,82255.0,309189.0
2013,PR,27091.0,191422.0
2013,SC,22840.0,144847.0
2013,RS,35312.0,249321.0
2013,MS,8808.0,38443.0
2013,MT,13904.0,68977.0
2013,GO,19478.0,120900.0
2013,DF,716.0,988.0
2014,RO,5868.0,28803.0
2014,AC,2506.0,10982.0
2014,AM,7044.0,31142.0
2014,RR,1618.0,6798.0
2014,PA,17324.0,68775.0
2014,AP,3419.0,6142.0
2014,TO,14176.0,63885.0
2014,MA,13905.0,111358.0
2014,PI,28705.0,86788.0
2014,CE,16982.0,91158.0
2014,RN,25326.0,66483.0
2014,PB,33964.0,91331.0
2014,PE,25012.0,95973.0
2014,AL,9933.0,51157.0
2014,SE,7234.0,40875.0
2014,BA,32415.0,202972.0
2014,MG,80023.0,399336.0
2014,ES,10809.0,33537.0
2014,RJ,26235.0,43207.0
2014,SP,86814.0,287010.0
2014,PR,29833.0,202805.0
2014,SC,21468.0,149549.0
2014,RS,36498.0,239726.0
2014,MS,9268.0,34281.0
2014,MT,14976.0,63967.0
2014,GO,19191.0,126310.0
2014,DF,358.0,921.0
2015,RO,6465.0,27148.0
2015,AC,3382.0,12477.0
2015,AM,7430.0,30067.0
2015,RR,2563.0,6752.0
2015,PA,20523.0,74540.0
2015,AP,3582.0,6689.0
2015,TO,18357.0,56135.0
2015,MA,15914.0,109558.0
2015,PI,35527.0,92865.0
2015,CE,18631.0,98036.0
2015,RN,21303.0,76580.0
2015,PB,26070.0,97724.0
2015,PE,23966.0,86887.0
2015,AL,12158.0,44743.0
2015,SE,8580.0,37783.0
2015,BA,37239.0,206513.0
2015,MG,79789.0,412933.0
2015,ES,11698.0,37042.0
2015,RJ,29857.0,43496.0
2015,SP,90432.0,314756.0
2015,PR,34969.0,199932.0
2015,SC,25174.0,153232.0
2015,RS,37108.0,245673.0
2015,MS,9489.0,38409.0
2015,MT,14833.0,63005.0
2015,GO,19916.0,119737.0
2015,DF,375.0,779.0
2016,RO,8487.0,25268.0
2016,AC,3339.0,9468.0
2016,AM,7845.0,28488.0
2016,RR,2218.0,6527.0
2016,PA,21583.0,73057.0
2016,AP,3110.0,5394.0
2016,TO,22972.0,56059.0
2016,MA,18062.0,113057.0
2016,PI,26453.0,92257.0
2016,CE,19364.0,87265.0
2016,RN,17938.0,73185.0
2016,PB,29514.0,94395.0
2016,PE,23048.0,91028.0
2016,AL,10600.0,52242.0
2016,SE,7606.0,38302.0
2016,BA,37941.0,207127.0
2016,MG,80581.0,406063.0
2016,ES,12796.0,38512.0
2016,RJ,27758.0,40030.0
2016,SP,89314.0,318075.0
2016,PR,33630.0,203236.0
2016,SC,23791.0,157379.0
2016,RS,37820.0,250601.0
2016,MS,11190.0,42592.0
2016,MT,16099.0,68824.0
2016,GO,21970.0,126467.0
2016,DF,859.0,866.0
2017,RO,7453.0,24480.0
2017,AC,3606.0,10633.0
2017,AM,8064.0,30713.0
2017,RR,2272.0,6382.0
2017,PA,22918.0,65933.0
2017,AP,3265.0,7204.0
2017,TO,20004.0,56065.0
2017,MA,18739.0,103201.0
2017,PI,23594.0,102445.0
2017,CE,20724.0,90688.0
2017,RN,20247.0,72654.0
2017,PB,25236.0,104411.0
2017,PE,25536.0,90062.0
2017,AL,9890.0,48167.0
2017,SE,8748.0,36481.0
2017,BA,42062.0,212712.0
2017,MG,87224.0,403769.0
2017,ES,9632.0,39304.0
2017,RJ,30677.0,40936.0
2017,SP,95197.0,316961.0
2017,PR,37065.0,197361.0
2017,SC,24344.0,141225.0
2017,RS,42023.0,238338.0
2017,MS,9917.0,37225.0
2017,MT,16600.0,64530.0
2017,GO,22658.0,124492.0
2017,DF,322.0,119.0
2018,RO,7184.0,28160.0
2018,AC,3687.0,8864.0
2018,AM,9111.0,32675.0
2018,RR,2053.0,6529.0
2018,PA,24969.0,71660.0
2018,AP,2867.0,6601.0
2018,TO,16847.0,60867.0
2018,MA,20127.0,106194.0
2018,PI,25872.0,100811.0
2018,CE,21522.0,98992.0
2018,RN,18486.0,75865.0
2018,PB,27074.0,97759.0
2018,PE,27538.0,95979.0
2018,AL,10649.0,53022.0
2018,SE,9550.0,42156.0
2018,BA,42753.0,204125.0
2018,MG,85798.0,389127.0
2018,ES,11116.0,39325.0
2018,RJ,25617.0,41440.0
2018,SP,101809.0,306733.0
2018,PR,36996.0,193758.0
2018,SC,28888.0,153915.0
2018,RS,45667.0,235423.0
2018,MS,11404.0,37534.0
2018,MT,19161.0,65383.0
2018,GO,21302.0,122317.0
2018,DF,113.0,768.0
2019,RO,6669.0,24644.0
2019,AC,3191.0,9237.0
2019,AM,9235.0,29982.0
2019,RR,2792.0,6727.0
2019,PA,24205.0,71680.0
2019,AP,2737.0,8169.0
2019,TO,19011.0,62120.0
2019,MA,21602.0,101852.0
2019,PI,22456.0,99421.0
2019,CE,24400.0,98672.0
2019,RN,20077.0,76904.0
2019,PB,23444.0,101839.0
2019,PE,28542.0,81363.0
2019,AL,10472.0,48229.0
2019,SE,8881.0,36352.0
2019,BA,42427.0,208742.0
2019,MG,86119.0,404013.0
2019,ES,11996.0,38316.0
2019,RJ,28665.0,42494.0
2019,SP,99351.0,298513.0
2019,PR,37348.0,203577.0
2019,SC,30265.0,146678.0
2019,RS,47212.0,241985.0
2019,MS,13357.0,43786.0
2019,MT,17003.0,67572.0
2019,GO,23036.0,120793.0
2019,DF,261.0,853.0
2020,RO,9037.0,27776.0
2020,AC,3519.0,11398.0
2020,AM,10311.0,26407.0
2020,RR,2822.0,9756.0
2020,PA,26116.0,72784.0
2020,AP,2471.0,7626.0
2020,TO,14143.0,64034.0
2020,MA,23928.0,105753.0
2020,PI,13904.0,115340.0
2020,CE,25623.0,86453.0
2020,RN,19339.0,71977.0
