ano,sigla_uf,tipo_consumo,consumo
2006,AP,Cativo,600871.25
2006,AP,Comercial,119756.15
2006,AP,Industrial,48121.78
2006,AP,Outros,157203.4
2006,AP,Residencial,275789.92
2006,AP,Total,600871.25
2006,BA,Cativo,16480879.95
2006,BA,Comercial,2149596.49
2006,BA,Industrial,9587888.24
2006,BA,Outros,2859610.9899999998
2006,BA,Residencial,3666524.4699999997
2006,BA,Total,18263620.19
2006,CE,Cativo,6304612.4
2006,CE,Comercial,1261447.0
2006,CE,Industrial,1930622.4
2006,CE,Outros,1532214.32
2006,CE,Residencial,2254679.2
2006,CE,Total,6978962.92
2006,DF,Cativo,3989428.0
2006,DF,Comercial,1228499.42
2006,DF,Industrial,458108.43
2006,DF,Outros,1033406.0
2006,DF,Residencial,1589608.0
2006,DF,Total,4309621.85
2006,ES,Cativo,4586501.3
2006,ES,Comercial,1135333.38
2006,ES,Industrial,4358751.42
2006,ES,Outros,1074649.05
2006,ES,Residencial,1453579.05
2006,ES,Total,8022312.9
2006,GO,Cativo,7351641.72
2006,GO,Comercial,1274523.02
2006,GO,Industrial,2869581.5100000002
2006,GO,Outros,1888128.88
2006,GO,Residencial,2583169.88
2006,GO,Total,8615403.29
2006,MA,Cativo,3203574.01
2006,MA,Comercial,588737.78
2006,MA,Industrial,7616247.15
2006,MA,Outros,721883.35
2006,MA,Residencial,1202637.93
2006,MA,Total,10129506.209999999
2006,MG,Cativo,21550474.12
2006,MG,Comercial,4113340.45
2006,MG,Industrial,29367495.439999998
2006,MG,Outros,4967613.83
2006,MG,Residencial,7118521.04
2006,MG,Total,45566970.76
2006,MS,Cativo,2897187.35
2006,MS,Comercial,644214.64
2006,MS,Industrial,880239.169
2006,MS,Outros,850477.73
2006,MS,Residencial,992807.04
2006,MS,Total,3367738.579
2006,MT,Cativo,3985130.77
2006,MT,Comercial,918406.9299999999
2006,MT,Industrial,1178801.74
2006,MT,Outros,965442.17
2006,MT,Residencial,1336394.47
2006,MT,Total,4399045.3100000005
2006,PA,Cativo,6304899.3100000005
2006,PA,Comercial,1046971.65
2006,PA,Industrial,9886671.57
2006,PA,Outros,905671.41
2006,PA,Residencial,1812428.21
2006,PA,Total,13651742.84
2006,PB,Cativo,2786145.0300000003
2006,PB,Comercial,471829.99
2006,PB,Industrial,1146920.19
2006,PB,Outros,698608.17
2006,PB,Residencial,961721.17
2006,PB,Total,3279079.52
2006,PE,Cativo,8081199.6001
2006,PE,Comercial,1689701.56
2006,PE,Industrial,2336169.09
2006,PE,Outros,1847451.74
2006,PE,Residencial,2882486.14
2006,PE,Total,8755808.53
2006,PI,Cativo,1639510.0
2006,PI,Comercial,332004.0
2006,PI,Industrial,212393.0
2006,PI,Outros,445259.0
2006,PI,Residencial,665085.0
2006,PI,Total,1654741.0
2006,PR,Cativo,18065474.34
2006,PR,Comercial,3481620.88
2006,PR,Industrial,9453578.12
2006,PR,Outros,3372599.7199999997
2006,PR,Residencial,4965864.55
2006,PR,Total,21273663.27
2006,RJ,Cativo,26289358.1
2006,RJ,Comercial,7344136.2
2006,RJ,Industrial,9140637.17
2006,RJ,Outros,5400703.32
2006,RJ,Residencial,10508108.54
2006,RJ,Total,32393585.23
2006,RN,Cativo,3215143.1
2006,RN,Comercial,644619.74
2006,RN,Industrial,1174941.47
2006,RN,Outros,850963.36
2006,RN,Residencial,1063131.44
2006,RN,Total,3733656.0100000002
2006,RO,Cativo,1523904.0
2006,RO,Comercial,352441.0
2006,RO,Industrial,231497.0
2006,RO,Outros,372832.0
2006,RO,Residencial,567134.0
2006,RO,Total,1523904.0
2006,RR,Cativo,381930.79000000004
2006,RR,Comercial,81104.5
2006,RR,Industrial,14262.9
2006,RR,Outros,111565.34
2006,RR,Residencial,174998.05
2006,RR,Total,381930.79000000004
2006,RS,Cativo,20189915.21
2006,RS,Comercial,3463011.31
2006,RS,Industrial,9054032.69
2006,RS,Outros,4579459.3
2006,RS,Residencial,5599364.85
2006,RS,Total,22695868.15
2006,SC,Cativo,13363299.4602
2006,SC,Comercial,2230145.81
2006,SC,Industrial,7398105.02
2006,SC,Outros,2614588.26
2006,SC,Residencial,3481476.19
2006,SC,Total,15724315.28
2006,SE,Cativo,1913562.7
2006,SE,Comercial,337673.33
2006,SE,Industrial,1275359.36
2006,SE,Outros,465468.1
2006,SE,Residencial,584305.58
2006,SE,Total,2662806.37
2006,SP,Cativo,79232128.27
2006,SP,Comercial,19036237.54
2006,SP,Industrial,50029504.07
2006,SP,Outros,12310532.03
2006,SP,Residencial,27772159.880000003
2006,SP,Total,109148433.52
2006,TO,Cativo,964305.15
2006,TO,Comercial,203667.06
2006,TO,Industrial,104363.33
2006,TO,Outros,299537.49
2006,TO,Residencial,356737.28
2006,TO,Total,964305.16
2007,AC,Cativo,541318.0
2007,AC,Comercial,115367.0
2007,AC,Industrial,30371.0
2007,AC,Outros,164474.0
2007,AC,Residencial,231106.0
2007,AC,Total,541318.0
2007,AL,Cativo,3555545.0
2007,AL,Comercial,442045.0
2007,AL,Industrial,1927325.0
2007,AL,Outros,636032.0
2007,AL,Residencial,741396.0
2007,AL,Total,3746798.0
2007,AM,Cativo,4135656.0
2007,AM,Comercial,738819.0
2007,AM,Industrial,1584036.0
2007,AM,Outros,741798.0
2007,AM,Residencial,1071003.0
2007,AM,Total,4135656.0
2007,AP,Cativo,625922.0
2007,AP,Comercial,129902.0
2007,AP,Industrial,50938.0
2007,AP,Outros,161103.0
2007,AP,Residencial,283979.0
2007,AP,Total,625922.0
2007,BA,Cativo,17466367.0
2007,BA,Comercial,2313271.0
2007,BA,Industrial,10256728.0
2007,BA,Outros,2953116.0
2007,BA,Residencial,3852682.0
2007,BA,Total,19375797.0
2007,CE,Cativo,6519210.0
2007,CE,Comercial,1330271.0
2007,CE,Industrial,2034013.0
2007,CE,Outros,1617783.0
2007,CE,Residencial,2316754.0
2007,CE,Total,7298821.0
2007,DF,Cativo,4294687.0
2007,DF,Comercial,1305718.0
2007,DF,Industrial,498172.0
2007,DF,Outros,1122547.0
2007,DF,Residencial,1704639.0
2007,DF,Total,4631076.0
2007,ES,Cativo,4909997.0
2007,ES,Comercial,1239562.0
2007,ES,Industrial,4450743.0
2007,ES,Outros,1178425.0
2007,ES,Residencial,1575604.0
2007,ES,Total,8444334.0
2007,GO,Cativo,8240355.0
2007,GO,Comercial,1390814.0
2007,GO,Industrial,2861412.0
2007,GO,Outros,2150557.0
2007,GO,Residencial,2657861.0
2007,GO,Total,9060644.0
2007,MA,Cativo,3631237.0
2007,MA,Comercial,633630.0
2007,MA,Industrial,7951563.0
2007,MA,Outros,778536.0
2007,MA,Residencial,1353219.0
2007,MA,Total,10716948.0
2007,MG,Cativo,22336201.0
2007,MG,Comercial,4379478.0
2007,MG,Industrial,32610430.0
2007,MG,Outros,5347576.0
2007,MG,Residencial,7292793.0
2007,MG,Total,49630277.0
2007,MS,Cativo,3043453.0
2007,MS,Comercial,666730.0
2007,MS,Industrial,947406.0
2007,MS,Outros,900068.0
2007,MS,Residencial,1010551.0
2007,MS,Total,3524755.0
2007,MT,Cativo,4317543.0
2007,MT,Comercial,973230.0
2007,MT,Industrial,1390199.0
2007,MT,Outros,1053957.0
2007,MT,Residencial,1397477.0
2007,MT,Total,4814863.0
2007,PA,Cativo,6819255.0
2007,PA,Comercial,1117946.0
2007,PA,Industrial,10360895.0
2007,PA,Outros,1067738.0
2007,PA,Residencial,1885942.0
2007,PA,Total,14432521.0
2007,PB,Cativo,2849858.0
2007,PB,Comercial,487865.0
2007,PB,Industrial,1244318.0
2007,PB,Outros,714285.0
2007,PB,Residencial,965894.0
2007,PB,Total,3412362.0
2007,PE,Cativo,8438516.0
2007,PE,Comercial,1755316.0
2007,PE,Industrial,2611771.0
2007,PE,Outros,1941213.0
2007,PE,Residencial,3021529.0
2007,PE,Total,9329829.0
2007,PI,Cativo,1729202.0
2007,PI,Comercial,350847.0
2007,PI,Industrial,229139.0
2007,PI,Outros,460939.0
2007,PI,Residencial,710125.0
2007,PI,Total,1751050.0
2007,PR,Cativo,19000948.0
2007,PR,Comercial,3781633.0
2007,PR,Industrial,9836781.0
2007,PR,Outros,3494418.0
2007,PR,Residencial,5218348.0
2007,PR,Total,22331180.0
2007,RJ,Cativo,26306079.0
2007,RJ,Comercial,7694936.0
2007,RJ,Industrial,9463105.0
2007,RJ,Outros,5440964.0
2007,RJ,Residencial,10652170.0
2007,RJ,Total,33251175.0
2007,RN,Cativo,3358289.0
2007,RN,Comercial,684619.0
2007,RN,Industrial,1254113.0
2007,RN,Outros,889832.0
2007,RN,Residencial,1125464.0
2007,RN,Total,3954028.0
2007,RO,Cativo,1633805.0
2007,RO,Comercial,371995.0
2007,RO,Industrial,271057.0
2007,RO,Outros,411518.0
2007,RO,Residencial,579235.0
2007,RO,Total,1633805.0
2007,RR,Cativo,425294.0
2007,RR,Comercial,90764.0
2007,RR,Industrial,14663.0
2007,RR,Outros,124310.0
2007,RR,Residencial,195557.0
2007,RR,Total,425294.0
2007,RS,Cativo,20756027.0
2007,RS,Comercial,3712987.0
2007,RS,Industrial,9568481.0
2007,RS,Outros,4535533.0
2007,RS,Residencial,5968389.0
2007,RS,Total,23785390.0
2007,SC,Cativo,13855291.0
2007,SC,Comercial,2433487.0
2007,SC,Industrial,7975151.0
2007,SC,Outros,2722718.0
2007,SC,Residencial,3748457.0
2007,SC,Total,16879813.0
2007,SE,Cativo,1804327.0
2007,SE,Comercial,348464.0
2007,SE,Industrial,1368946.0
2007,SE,Outros,473784.0
2007,SE,Residencial,590221.0
2007,SE,Total,2781415.0
2007,SP,Cativo,81791525.0
2007,SP,Comercial,19934953.0
2007,SP,Industrial,53451769.0
2007,SP,Outros,12722851.0
2007,SP,Residencial,29349812.0
2007,SP,Total,115459385.0
2007,TO,Cativo,1055558.0
2007,TO,Comercial,222354.0
2007,TO,Industrial,125249.0
2007,TO,Outros,322790.0
2007,TO,Residencial,385165.0
2007,TO,Total,1055558.0
2008,AC,Cativo,582603.0
2008,AC,Comercial,123956.0
2008,AC,Industrial,32480.0
2008,AC,Outros,174300.0
2008,AC,Residencial,251867.0
2008,AC,Total,582603.0
2008,AL,Cativo,3719242.0
2008,AL,Comercial,464847.0
2008,AL,Industrial,1985292.0
2008,AL,Outros,648768.0
2008,AL,Residencial,809225.0
2008,AL,Total,3908132.0
2008,AM,Cativo,4355963.0
2008,AM,Comercial,787776.0
2008,AM,Industrial,1663361.0
2008,AM,Outros,781867.0
2008,AM,Residencial,1122959.0
2008,AM,Total,4355963.0
2008,AP,Cativo,667443.0
2008,AP,Comercial,141116.0
2008,AP,Industrial,53002.0
2008,AP,Outros,166406.0
2008,AP,Residencial,306919.0
2008,AP,Total,667443.0
2008,BA,Cativo,19083432.0
2008,BA,Comercial,2462169.0
2008,BA,Industrial,10769582.0
2008,BA,Outros,3018002.0
2008,BA,Residencial,4190343.0
2008,BA,Total,20440096.0
2008,CE,Cativo,6947808.0
2008,CE,Comercial,1424166.0
2008,CE,Industrial,2047273.0
2008,CE,Outros,1694927.0
2008,CE,Residencial,2456488.0
2008,CE,Total,7622854.0
2008,DF,Cativo,4555500.0
2008,DF,Comercial,1391065.0
2008,DF,Industrial,549683.0
2008,DF,Outros,1194306.0
2008,DF,Residencial,1785468.0
2008,DF,Total,4920522.0
2008,ES,Cativo,5128427.0
2008,ES,Comercial,1306527.0
2008,ES,Industrial,4368452.0
2008,ES,Outros,1250356.0
2008,ES,Residencial,1676868.0
2008,ES,Total,8602203.0
2008,GO,Cativo,8813306.0
2008,GO,Comercial,1676044.0
2008,GO,Industrial,3084438.0
2008,GO,Outros,2312148.0
2008,GO,Residencial,2796287.0
2008,GO,Total,9868917.0
2008,MA,Cativo,3764025.9
2008,MA,Comercial,670351.37
2008,MA,Industrial,8038281.41
2008,MA,Outros,791096.4
2008,MA,Residencial,1466082.8
2008,MA,Total,10965811.98
2008,MG,Cativo,24142669.0
2008,MG,Comercial,4723116.0
2008,MG,Industrial,30670488.0
2008,MG,Outros,5539048.0
2008,MG,Residencial,7726417.0
2008,MG,Total,48659069.0
2008,MS,Cativo,3139604.0
2008,MS,Comercial,686889.0
2008,MS,Industrial,1041540.0
2008,MS,Outros,881694.0
2008,MS,Residencial,1028618.0
2008,MS,Total,3638741.0
2008,MT,Cativo,4752764.0
2008,MT,Comercial,1049185.0
2008,MT,Industrial,1522235.0
2008,MT,Outros,1167020.0
2008,MT,Residencial,1485779.0
2008,MT,Total,5224219.0
2008,PA,Cativo,7218694.0
2008,PA,Comercial,1185109.0
2008,PA,Industrial,10587526.0
2008,PA,Outros,1108733.0
2008,PA,Residencial,2049598.0
2008,PA,Total,14930966.0
2008,PB,Cativo,3071090.0
2008,PB,Comercial,536806.0
2008,PB,Industrial,1271962.0
2008,PB,Outros,771087.0
2008,PB,Residencial,1041690.0
2008,PB,Total,3621545.0
2008,PE,Cativo,9339785.0
2008,PE,Comercial,1835432.0
2008,PE,Industrial,2672696.0
2008,PE,Outros,2015436.0
2008,PE,Residencial,3206488.0
2008,PE,Total,9730052.0
2008,PI,Cativo,1843015.0
2008,PI,Comercial,369848.0
2008,PI,Industrial,235932.0
2008,PI,Outros,477067.0
2008,PI,Residencial,760168.0
2008,PI,Total,1843015.0
2008,PR,Cativo,20116387.0
2008,PR,Comercial,4041203.0
2008,PR,Industrial,10476307.0
2008,PR,Outros,3632994.0
2008,PR,Residencial,5460761.0
2008,PR,Total,23611265.0
2008,RJ,Cativo,26908816.0
2008,RJ,Comercial,7911239.0
2008,RJ,Industrial,9443417.0
2008,RJ,Outros,5595087.0
2008,RJ,Residencial,10772914.0
2008,RJ,Total,33722657.0
2008,RN,Cativo,3767854.0
2008,RN,Comercial,750798.0
2008,RN,Industrial,1200488.0
2008,RN,Outros,892736.0
2008,RN,Residencial,1197723.0
2008,RN,Total,4041745.0
2008,RO,Cativo,1749852.0
2008,RO,Comercial,387877.0
2008,RO,Industrial,300800.0
2008,RO,Outros,441408.0
2008,RO,Residencial,619767.0
2008,RO,Total,1749852.0
2008,RR,Cativo,449998.0
2008,RR,Comercial,99126.0
2008,RR,Industrial,15420.0
2008,RR,Outros,124368.0
2008,RR,Residencial,211084.0
2008,RR,Total,449998.0
2008,RS,Cativo,21698790.0
2008,RS,Comercial,3878802.0
2008,RS,Industrial,9873840.0
2008,RS,Outros,4844707.0
2008,RS,Residencial,6109256.0
2008,RS,Total,24706605.0
2008,SC,Cativo,14662428.0
2008,SC,Comercial,2533205.0
2008,SC,Industrial,8374998.0
2008,SC,Outros,2819603.0
