ano,uf,consumo_energia,soma_produto_interno_bruto,soma_produto_interno_bruto_per_capita,sigla_uf,highest_tipo_consumo
2011,MS,8208407.0,55133157.0,1738507.67,MS,Residencial
2011,MT,11487557.0,69153952.0,3028932.71,MT,Industrial
2011,PA,24441620.0,98710733.0,1290194.6,PA,Industrial
2011,PB,7944633.0,37109139.0,1377719.7699999989,PB,Residencial
2011,PE,21719122.0,110161562.0,1363686.0299999998,PE,Residencial
2011,PI,4785110.0,25941369.0,1215455.8500000006,PI,Residencial
2011,PR,49589368.0,257122268.0,7010963.790000001,PR,Industrial
2011,RJ,67155491.0,512767901.0,2925668.74,RJ,Residencial
2011,RN,8523642.0,40992928.0,1391451.329999999,RN,Residencial
2011,RO,4755694.0,27574713.0,685955.1299999999,RO,Residencial
2011,RR,1173998.0,7303718.0,162144.56000000003,RR,Residencial
2011,RS,51323365.0,265056420.0,10458315.899999993,RS,Industrial
2011,SC,36366192.0,174068321.0,6511671.099999998,SC,Industrial
2011,SE,5869760.0,29108273.0,890331.2600000005,SE,Industrial
2011,SP,223147688.0,1436672706.0,13656622.33,SP,Industrial
2011,TO,2975645.0,18345684.0,1496500.2300000004,TO,Residencial
2012,AC,1642075.43,10137925.0,214874.25000000003,AC,Residencial
2012,AL,8789202.0,34650396.0,756416.4399999998,AL,Industrial
2012,AM,11192652.0,72242703.0,507820.62999999983,AM,Industrial
2012,AP,1763872.0,11130869.0,208945.27,AP,Residencial
2012,BA,41348258.0,182572537.0,3535681.68,BA,Industrial
2012,CE,18896588.0,96973750.0,1165573.1600000004,CE,Residencial
2012,DF,11848965.0,164101336.0,61959.36,DF,Residencial
2012,ES,16181032.0,116850585.0,2536474.6100000003,ES,Industrial
2012,GO,23614504.0,138757833.0,4958674.179999998,GO,Industrial
2012,MA,16475678.0,60490110.0,1310336.1400000008,MA,Industrial
2012,MG,79884409.0,442282828.0,12647683.85999998,MG,Industrial
2012,MS,8915789.0,62013199.0,1907580.6500000008,MS,Residencial
2012,MT,12416717.0,79665685.0,3570787.5300000003,MT,Industrial
2012,PA,22970475.0,107080878.0,1358507.4599999995,PA,Industrial
2012,PB,8500621.0,42488343.0,1505996.6900000002,PB,Residencial
2012,PE,22107146.0,127989042.0,1529294.4700000004,PE,Residencial
2012,PI,5468624.0,28637680.0,1320612.869999999,PI,Residencial
2012,PR,51639707.4,285620201.0,7820928.770000003,PR,Industrial
2012,RJ,68580353.0,574884973.0,3232595.8999999994,RJ,Residencial
2012,RN,9043255.0,46450299.0,1562594.2099999993,RN,Residencial
2012,RO,5652296.0,30112721.0,772208.0499999999,RO,Residencial
2012,RR,1323850.0,7711468.0,169613.99000000002,RR,Residencial
2012,RS,51815476.0,287587015.0,10589558.13,RS,Industrial
2012,SC,38122350.0,191794656.0,7041678.33,SC,Industrial
2012,SE,6093715.0,32853181.0,984067.7299999996,SE,Industrial
2012,SP,228155901.0,1559033441.0,14961737.360000003,SP,Industrial
2012,TO,3181397.0,20684430.0,1660746.8999999997,TO,Residencial
2013,AC,1677801.26,11473929.0,251921.53,AC,Residencial
2013,AL,9378020.0,37282529.0,808977.0700000001,AL,Industrial
2013,AM,11932446.0,83051228.0,556469.4800000001,AM,Industrial
2013,AP,1921792.0,12763485.0,239165.26,AP,Residencial
2013,BA,43754524.0,204844273.0,3675788.550000001,BA,Industrial
2013,CE,20281854.0,109036561.0,1316954.1800000006,CE,Residencial
2013,DF,12498626.0,175906726.0,63054.41,DF,Residencial
2013,ES,16989662.0,117274345.0,2377589.49,ES,Industrial
2013,GO,24720454.0,151300180.0,5292215.730000004,GO,Industrial
2013,MA,16214829.0,67694839.0,1577189.67,MA,Industrial
2013,MG,81462863.0,488004902.0,13048312.70999998,MG,Industrial
2013,MS,9505194.0,69203202.0,2169883.41,MS,Residencial
2013,MT,13622721.0,89212915.0,3836410.950000002,MT,Industrial
2013,PA,23814703.0,121224851.0,1605849.3600000008,PA,Industrial
2013,PB,9027968.0,46377285.0,1661999.2100000004,PB,Residencial
2013,PE,23846822.0,141150250.0,1611510.0300000005,PE,Residencial
2013,PI,5699315.0,31283598.0,1391441.3299999994,PI,Residencial
2013,PR,52591647.0,333481153.0,9211801.069999998,PR,Industrial
2013,RJ,70962150.0,628226073.0,3377540.010000001,RJ,Residencial
2013,RN,9638791.0,51518454.0,1634592.1900000004,RN,Residencial
2013,RO,5754999.0,31121412.0,759418.2599999999,RO,Residencial
2013,RR,1410234.0,9010725.0,199177.62,RR,Residencial
2013,RS,52558828.0,332292721.0,13340172.179999994,RS,Industrial
2013,SC,39125065.0,214512250.0,7968345.540000001,SC,Industrial
2013,SE,6413015.0,35335989.0,997598.1999999998,SE,Industrial
2013,SP,231494377.0,1715238415.0,16013505.649999993,SP,Industrial
2013,TO,3583519.0,23796659.0,1869089.6200000008,TO,Residencial
2014,AC,1761887.0,13458696.0,276941.99000000005,AC,Residencial
2014,AL,9691151.0,40974993.0,876931.2599999999,AL,Industrial
2014,AM,12550450.0,86668642.0,583813.7400000001,AM,Residencial
2014,AP,2029242.0,13400286.0,236234.26,AP,Residencial
2014,BA,46231717.0,223929965.0,4004883.1699999976,BA,Industrial
2014,CE,21438156.0,126054461.0,1569574.4399999997,CE,Residencial
2014,DF,12937834.0,197432059.0,69216.8,DF,Residencial
2014,ES,17773743.0,128783779.0,2611794.4600000004,ES,Industrial
2014,GO,25908290.0,165015307.0,5477802.579999999,GO,Industrial
2014,MA,14290576.0,76842026.0,1695148.7999999996,MA,Industrial
2014,MG,83200529.0,516633991.0,13814537.390000008,MG,Industrial
2014,MS,10089983.0,78950135.0,2414152.5,MS,Residencial
2014,MT,14705847.0,101234522.0,4204643.499999999,MT,Residencial
2014,PA,26070149.0,124584945.0,1641611.0099999998,PA,Industrial
2014,PB,9517623.88,52936479.0,1847116.340000001,PB,Residencial
2014,PE,24909275.01,155142644.0,1794338.2799999998,PE,Residencial
2014,PI,6090833.0,37723502.0,1685849.6,PI,Residencial
2014,PR,55438173.0,348084197.0,9550102.060000012,PR,Industrial
2014,RJ,74245268.0,671076847.0,3522474.7500000005,RJ,Residencial
2014,RN,10086560.0,54022583.0,1782312.8099999994,RN,Residencial
2014,RO,6026304.0,34030982.0,824587.21,RO,Residencial
2014,RR,1603328.0,9744122.0,203559.33,RR,Residencial
2014,RS,55844527.0,357816431.0,14055025.929999998,RS,Industrial
2014,SC,41729392.0,242553374.0,8285854.630000002,SC,Industrial
2014,SE,6574483.0,37472428.0,1044300.78,SE,Industrial
2014,SP,234396691.0,1858196059.0,17898190.580000002,SP,Industrial
2014,TO,3845260.0,26189323.0,2032375.15,TO,Residencial
2015,AC,1935515.0,13622803.0,283534.1099999999,AC,Residencial
2015,AL,9534015.0,46367211.0,983032.39,AL,Industrial
2015,AM,12714432.0,86568185.0,599605.13,AM,Residencial
2015,AP,2111442.0,13861293.0,256628.44000000003,AP,Residencial
2015,BA,45347922.19,245043688.0,4473138.819999998,BA,Industrial
2015,CE,21425811.0,130629849.0,1627304.9299999997,CE,Residencial
2015,DF,12734444.0,215612863.0,73970.99,DF,Residencial
2015,ES,18053697.0,120365980.0,2152949.8200000008,ES,Industrial
2015,GO,26863984.53,173632448.0,5886783.449999996,GO,Industrial
2015,MA,12880676.0,78475993.0,1778050.6499999997,MA,Residencial
2015,MG,81271618.09,519331213.0,14010636.770000009,MG,Industrial
2015,MS,10091452.0,83082560.0,2566843.1500000004,MS,Residencial
2015,MT,14990451.0,107418326.0,4400180.400000001,MT,Residencial
2015,PA,27643687.78,130899505.0,1802236.460000001,PA,Industrial
2015,PB,9524969.0,56141893.0,1983125.8,PB,Residencial
2015,PE,25622646.53,156963672.0,1880099.67,PE,Residencial
2015,PI,6525954.0,39149681.0,1800468.2800000005,PI,Residencial
2015,PR,54723517.65,376962826.0,10392734.030000005,PR,Industrial
2015,RJ,74483472.24,659138952.0,3143129.049999999,RJ,Residencial
2015,RN,10189229.0,57250865.0,1896726.47,RN,Residencial
2015,RO,6038409.0,36563334.0,875968.8699999998,RO,Residencial
2015,RR,1766062.98,10242903.0,220620.14,RR,Residencial
2015,RS,53120078.64,381992590.0,15374665.400000004,RS,Industrial
2015,SC,40489728.0,249079644.0,8450617.190000003,SC,Industrial
2015,SE,6582782.0,38556529.0,1019044.1299999997,SE,Industrial
2015,SP,225098248.12,1939901904.0,19277320.710000005,SP,Industrial
2015,TO,4095173.0,28930288.0,2160265.43,TO,Residencial
2016,AC,2008408.0,13754242.0,301327.03,AC,Residencial
2016,AL,9439313.0,49468745.0,1141274.86,AL,Industrial
2016,AM,11777584.0,89039782.0,599216.2099999997,AM,Residencial
2016,AP,2228792.0,14342136.0,269291.58,AP,Residencial
2016,BA,44685182.24,258738968.0,4645335.590000001,BA,Industrial
2016,CE,22090810.0,138422523.0,1741544.8799999994,CE,Residencial
2016,DF,12559250.0,235540045.0,79114.19,DF,Residencial
2016,ES,16497326.0,109264420.0,1655566.2899999998,ES,Industrial
2016,GO,26712746.07,181759608.0,6501036.880000004,GO,Industrial
2016,MA,12845969.0,85310044.0,1901887.04,MA,Residencial
2016,MG,81852264.0,544810475.0,15362194.090000004,MG,Industrial
2016,MS,9799710.0,91892284.0,2924092.74,MS,Residencial
2016,MT,14732465.0,123880298.0,5129901.609999999,MT,Residencial
2016,PA,28351129.2,138107518.0,1935532.06,PA,Industrial
2016,PB,9408731.0,59104784.0,2116580.630000001,PB,Residencial
2016,PE,25502426.08,167345029.0,2059097.840000001,PE,Residencial
2016,PI,6716153.0,41416948.0,1827560.0199999984,PI,Residencial
2016,PR,52656045.24,401814167.0,11643442.620000005,PR,Industrial
2016,RJ,71750500.94,640401206.0,2847608.57,RJ,Residencial
2016,RN,10344062.0,59677383.0,2009952.9799999995,RN,Residencial
2016,RO,5845386.0,39460358.0,954673.02,RO,Residencial
2016,RR,1830200.0,11013236.0,236971.49,RR,Residencial
2016,RS,52894276.01,408789531.0,16809286.419999998,RS,Industrial
2016,SC,39766034.0,256754675.0,9042051.230000002,SC,Industrial
2016,SE,6506428.0,38877436.0,966185.08,SE,Industrial
2016,SP,216298124.0,2038757392.0,19945506.820000008,SP,Industrial
2016,TO,4292164.0,31584812.0,2290343.1899999995,TO,Residencial
2017,AC,2113057.0,14272939.0,307036.71,AC,Residencial
2017,AL,9330774.0,52851065.0,1298814.5900000003,AL,Industrial
2017,AM,10552201.0,93240190.0,625622.2100000003,AM,Residencial
2017,AP,2146190.0,15481909.0,296958.98,AP,Residencial
2017,BA,44273230.93,268724092.0,4720345.069999997,BA,Industrial
2017,CE,20931328.3,147921537.0,1960410.750000001,CE,Residencial
2017,DF,11914961.0,244722249.0,80515.47,DF,Residencial
2017,ES,15993034.0,113399936.0,1847768.9100000008,ES,Industrial
2017,GO,26217813.27,191948306.0,6734535.120000004,GO,Industrial
2017,MA,12790694.0,89542756.0,2065963.64,MA,Residencial
2017,MG,81074802.02,576375558.0,16058129.659999998,MG,Industrial
2017,MS,10132499.0,96396428.0,2977894.12,MS,Residencial
2017,MT,15563356.0,126845895.0,5090570.950000002,MT,Residencial
2017,PA,28184990.0,155232405.0,2262534.3,PA,Industrial
2017,PB,9360222.0,62396770.0,2233950.2,PB,Residencial
2017,PE,25091220.13,181609501.0,2251768.279999999,PE,Residencial
2017,PI,6897211.0,45365544.0,2235178.67,PI,Residencial
2017,PR,51245577.47,421497864.0,12085281.710000005,PR,Industrial
2017,RJ,68091305.23,671605668.0,3011027.8900000006,RJ,Residencial
2017,RN,10280195.0,64305992.0,2304978.2700000005,RN,Residencial
2017,RO,5999099.0,43516144.0,1052824.05,RO,Residencial
2017,RR,1835626.0,12104706.0,255337.75,RR,Residencial
2017,RS,52090799.2,423270044.0,16846227.85000002,RS,Industrial
2017,SC,40185350.0,277270232.0,9455073.02,SC,Industrial
2017,SE,6275968.0,40711485.0,1032647.37,SE,Industrial
2017,SP,214349572.0,2120761648.0,21173659.20999998,SP,Industrial
2017,TO,4312188.0,34108132.0,2512899.0600000005,TO,Residencial
2018,AC,1921530.08,15331124.0,304631.30999999994,AC,Residencial
2018,AL,7924962.22,54413051.0,1368309.789999999,AL,Industrial
2018,AM,10530025.32,100109232.0,681536.43,AM,Residencial
